match_id,skill,start_time,human_players,game_mode,lobby_type,first_blood_time,radiant_win,barracks_status_dire,barracks_status_radiant,tower_status_radiant,tower_status_dire,duration,leavers,r1_hero_id,r2_hero_id,r3_hero_id,r4_hero_id,r5_hero_id,d1_hero_id,d2_hero_id,d3_hero_id,d4_hero_id,d5_hero_id
2143957737,2,1455187804,10,22,7,133,1,0,63,1847,0,2894,0,59,74,51,44,35,8,85,21,38,73
2143958139,2,1455187820,10,22,7,160,1,0,63,2046,0,2273,1,97,8,53,74,37,93,38,62,44,101
2143959837,2,1455187876,10,22,7,14,1,0,63,1828,0,3266,0,68,78,44,53,64,99,45,100,26,38
2143959932,2,1455187886,10,22,7,141,0,63,51,388,1830,2101,0,30,14,37,7,49,38,44,35,62,74
2143965027,2,1455188035,10,22,7,60,0,63,0,0,1831,1047,0,80,48,38,20,30,6,21,53,87,92
2143976102,2,1455188404,10,22,7,145,1,0,63,1972,0,2033,0,67,50,74,85,14,38,86,13,36,104
2143976278,3,1455188406,10,22,7,0,1,0,51,1798,0,2466,0,104,74,86,56,38,58,26,22,8,2
2143978075,3,1455188483,10,22,7,50,0,63,0,0,1974,2668,0,14,1,23,76,38,25,65,107,90,8
2143978365,3,1455188475,10,22,7,105,1,0,63,1974,0,2300,0,71,38,26,74,67,27,36,22,8,45
2143979977,3,1455188518,10,22,7,0,0,63,0,0,2044,1702,0,22,38,75,42,10,25,93,45,13,74
2143981257,2,1455188583,10,22,7,8,0,63,0,0,1958,2721,0,50,38,94,90,59,5,18,52,93,10
2143984879,3,1455188699,10,22,7,249,1,0,63,2047,0,1296,0,3,21,42,61,38,76,110,8,5,74
2143986298,2,1455188747,10,22,7,0,1,0,63,1974,0,2101,0,42,104,9,14,88,38,74,36,50,106
2143988890,3,1455188822,10,22,7,139,0,63,51,455,1796,1967,0,38,46,111,106,40,87,74,36,8,98
2143989779,3,1455188829,10,22,7,262,1,0,63,1972,0,1677,1,38,76,4,43,64,99,93,3,113,26
2143990121,3,1455188870,10,22,7,7,0,63,0,0,1974,2388,0,14,44,17,81,99,26,8,74,33,38
2143990535,2,1455188882,10,22,7,136,0,59,0,0,1796,3371,1,34,14,9,45,80,38,75,1,22,107
2143990699,3,1455188872,10,22,7,181,1,3,63,1956,6,2147,0,50,46,72,57,107,38,14,13,5,93
2143991629,2,1455188899,10,22,7,308,0,63,0,0,1982,2196,0,80,12,38,88,104,54,36,7,74,31
2143992529,3,1455188945,10,22,7,77,1,51,1,512,260,5576,0,14,11,74,79,9,34,50,7,38,16
2143993501,2,1455188968,10,22,7,73,1,3,51,1920,4,3193,0,38,37,62,67,39,112,44,7,93,104
2143993702,3,1455188962,10,22,7,125,0,63,0,0,1828,2995,0,7,107,21,6,14,57,38,9,44,74
2143994416,3,1455188998,10,22,7,7,1,3,63,2047,6,1344,0,18,71,50,74,53,46,9,93,38,101
2143994575,3,1455188998,10,22,7,24,0,63,48,256,1972,1316,0,41,8,43,32,74,76,50,20,38,22
2143995296,2,1455189034,10,22,7,171,1,12,63,1975,32,1773,0,14,76,74,38,36,67,78,104,27,20
2143997591,3,1455189101,10,22,7,132,1,19,13,512,4,3920,0,103,13,67,76,27,35,38,92,71,63
2143998928,2,1455189145,10,22,7,166,1,51,63,1974,260,2889,0,112,93,38,57,21,104,74,28,86,4
2143999435,2,1455189130,10,22,7,98,1,0,63,1974,0,3174,0,70,36,76,38,6,69,42,106,12,52
2143999816,2,1455189142,10,22,7,57,1,0,63,1828,0,3009,0,106,85,25,8,62,93,80,74,38,7
2144000699,2,1455189205,10,22,7,140,1,0,51,1540,0,3456,0,36,44,74,77,38,25,14,64,67,7
